dataset,dimu_mass,n,weighted:sumw,weighted:sumw2
wjets,"(72.0, 73.0]",0.0,0.0,0.0
wjets,"(73.0, 74.0]",0.0,0.0,0.0
wjets,"(74.0, 75.0]",0.0,0.0,0.0
wjets,"(75.0, 76.0]",0.0,0.0,0.0
wjets,"(76.0, 77.0]",0.0,0.0,0.0
wjets,"(77.0, 78.0]",0.0,0.0,0.0
wjets,"(78.0, 79.0]",0.0,0.0,0.0
wjets,"(79.0, 80.0]",0.0,0.0,0.0
wjets,"(80.0, 81.0]",0.0,0.0,0.0
wjets,"(81.0, 82.0]",0.0,0.0,0.0
wjets,"(82.0, 83.0]",0.0,0.0,0.0
wjets,"(83.0, 84.0]",0.0,0.0,0.0
wjets,"(84.0, 85.0]",0.0,0.0,0.0
wjets,"(85.0, 86.0]",0.0,0.0,0.0
wjets,"(86.0, 87.0]",0.0,0.0,0.0
wjets,"(87.0, 88.0]",0.0,0.0,0.0
wjets,"(88.0, 89.0]",0.0,0.0,0.0
wjets,"(89.0, 90.0]",0.0,0.0,0.0
wjets,"(90.0, 91.0]",0.0,0.0,0.0
wjets,"(91.0, 92.0]",0.0,0.0,0.0
wjets,"(92.0, 93.0]",0.0,0.0,0.0
wjets,"(93.0, 94.0]",0.0,0.0,0.0
wjets,"(94.0, 95.0]",0.0,0.0,0.0
wjets,"(95.0, 96.0]",0.0,0.0,0.0
wjets,"(96.0, 97.0]",0.0,0.0,0.0
wjets,"(97.0, 98.0]",0.0,0.0,0.0
wjets,"(98.0, 99.0]",0.0,0.0,0.0
wjets,"(99.0, 100.0]",0.0,0.0,0.0
wjets,"(100.0, 101.0]",0.0,0.0,0.0
wjets,"(101.0, 102.0]",0.0,0.0,0.0
wjets,"(102.0, 103.0]",0.0,0.0,0.0
wjets,"(103.0, 104.0]",0.0,0.0,0.0
wjets,"(104.0, 105.0]",0.0,0.0,0.0
wjets,"(105.0, 106.0]",0.0,0.0,0.0
wjets,"(106.0, 107.0]",0.0,0.0,0.0
wjets,"(107.0, 108.0]",0.0,0.0,0.0
wjets,"(108.0, 109.0]",0.0,0.0,0.0
wjets,"(109.0, 110.0]",0.0,0.0,0.0
wjets,"(110.0, 111.0]",0.0,0.0,0.0
wjets,"(111.0, 112.0]",0.0,0.0,0.0
wjets,"(112.0, 113.0]",0.0,0.0,0.0
wjets,"(113.0, 114.0]",0.0,0.0,0.0
wjets,"(114.0, 115.0]",0.0,0.0,0.0
wjets,"(115.0, 116.0]",0.0,0.0,0.0
wjets,"(116.0, 117.0]",0.0,0.0,0.0
wjets,"(117.0, 118.0]",0.0,0.0,0.0
wjets,"(118.0, 119.0]",0.0,0.0,0.0
wjets,"(119.0, 120.0]",0.0,0.0,0.0
wjets,"(120.0, inf]",0.0,0.0,0.0
ww,"(-inf, 60.0]",61.0,3.6002206802368164,0.22147376835346222
ww,"(60.0, 61.0]",1.0,0.06328409165143967,0.0040048761293292046
ww,"(61.0, 62.0]",2.0,0.10205331444740295,0.005617056507617235
ww,"(62.0, 63.0]",1.0,0.0684838593006134,0.004690038971602917
ww,"(63.0, 64.0]",3.0,0.19425803422927856,0.012601343914866447
ww,"(64.0, 65.0]",1.0,0.06533778458833694,0.004269026219844818
ww,"(65.0, 66.0]",2.0,0.1302240639925003,0.008499076589941978
ww,"(66.0, 67.0]",2.0,0.1286676824092865,0.008292019367218018
ww,"(67.0, 68.0]",1.0,0.06381835788488388,0.0040727825835347176
ww,"(68.0, 69.0]",1.0,0.024008437991142273,0.0005764050874859095
ww,"(69.0, 70.0]",0.0,0.0,0.0
ww,"(70.0, 71.0]",3.0,0.16093775629997253,0.009486819617450237
ww,"(71.0, 72.0]",1.0,0.0684838593006134,0.004690038971602917
ww,"(72.0, 73.0]",3.0,0.1913187950849533,0.012217179872095585
ww,"(73.0, 74.0]",2.0,0.12361268699169159,0.007640092633664608
ww,"(74.0, 75.0]",2.0,0.08278003334999084,0.004871146287769079
ww,"(75.0, 76.0]",4.0,0.2519568204879761,0.015912573784589767
ww,"(76.0, 77.0]",3.0,0.18273429572582245,0.011285022832453251
ww,"(77.0, 78.0]",2.0,0.1320866048336029,0.008733337745070457
ww,"(78.0, 79.0]",3.0,0.13170978426933289,0.00847005844116211
ww,"(79.0, 80.0]",3.0,0.1446288824081421,0.008266805671155453
ww,"(80.0, 81.0]",1.0,0.018854716792702675,0.00035550034954212606
ww,"(81.0, 82.0]",3.0,0.03165978193283081,0.00036969914799556136
ww,"(82.0, 83.0]",1.0,0.06701081246137619,0.004490449093282223
ww,"(83.0, 84.0]",2.0,0.12329227477312088,0.0076004923321306705
ww,"(84.0, 85.0]",2.0,0.05557025223970413,0.0017035307828336954
ww,"(85.0, 86.0]",0.0,0.0,0.0
ww,"(86.0, 87.0]",4.0,0.20476612448692322,0.01295331958681345
ww,"(87.0, 88.0]",4.0,0.11242814362049103,0.004924234002828598
ww,"(88.0, 89.0]",1.0,0.024008437991142273,0.0005764050874859095
ww,"(89.0, 90.0]",10.0,0.46356046199798584,0.026960795745253563
ww,"(90.0, 91.0]",1.0,0.06328409165143967,0.0040048761293292046
ww,"(91.0, 92.0]",0.0,0.0,0.0
ww,"(92.0, 93.0]",1.0,0.06693325191736221,0.004480060189962387
ww,"(93.0, 94.0]",1.0,0.06381835788488388,0.0040727825835347176
ww,"(94.0, 95.0]",3.0,0.19400547444820404,0.012561045587062836
ww,"(95.0, 96.0]",3.0,0.1953025460243225,0.01273604016751051
ww,"(96.0, 97.0]",1.0,0.0009290438028983772,8.631224091004697e-07
ww,"(97.0, 98.0]",2.0,0.09383675456047058,0.004973886534571648
ww,"(98.0, 99.0]",3.0,0.15263031423091888,0.008850307203829288
ww,"(99.0, 100.0]",1.0,0.0061163147911429405,3.740930696949363e-05
ww,"(100.0, 101.0]",1.0,0.06701081246137619,0.004490449093282223
ww,"(101.0, 102.0]",3.0,0.17260822653770447,0.010222790762782097
ww,"(102.0, 103.0]",0.0,0.0,0.0
ww,"(103.0, 104.0]",1.0,0.06265110522508621,0.003925160970538855
ww,"(104.0, 105.0]",1.0,0.06701081246137619,0.004490449093282223
ww,"(105.0, 106.0]",1.0,0.06826825439929962,0.004660554695874453
ww,"(106.0, 107.0]",1.0,0.061955809593200684,0.003838522359728813
ww,"(107.0, 108.0]",1.0,0.06701081246137619,0.004490449093282223
ww,"(108.0, 109.0]",2.0,0.13227103650569916,0.008749086409807205
ww,"(109.0, 110.0]",2.0,0.06626682728528976,0.004269889555871487
ww,"(110.0, 111.0]",3.0,0.18717174232006073,0.011680811643600464
ww,"(111.0, 112.0]",4.0,0.193478524684906,0.009593885391950607
ww,"(112.0, 113.0]",0.0,0.0,0.0
ww,"(113.0, 114.0]",2.0,0.09828665107488632,0.005561658646911383
ww,"(114.0, 115.0]",1.0,0.001745029934681952,3.045129460588214e-06
ww,"(115.0, 116.0]",1.0,0.06328409165143967,0.0040048761293292046
ww,"(116.0, 117.0]",1.0,0.06328409165143967,0.0040048761293292046
ww,"(117.0, 118.0]",2.0,0.09197420626878738,0.004739626310765743
ww,"(118.0, 119.0]",0.0,0.0,0.0
ww,"(119.0, 120.0]",1.0,0.002389896661043167,5.7116062635031994e-06
ww,"(120.0, inf]",70.0,3.262568950653076,0.19040432572364807
wz,"(-inf, 60.0]",15.0,0.32091423869132996,0.007841786369681358
wz,"(60.0, 61.0]",2.0,0.05332765728235245,0.001424323534592986
wz,"(61.0, 62.0]",0.0,0.0,0.0
wz,"(62.0, 63.0]",2.0,0.038696736097335815,0.0008438943768851459
wz,"(63.0, 64.0]",0.0,0.0,0.0
wz,"(64.0, 65.0]",3.0,0.08164156973361969,0.002226001350209117
wz,"(65.0, 66.0]",0.0,0.0,0.0
wz,"(66.0, 67.0]",3.0,0.05998776853084564,0.0015569410752505064
wz,"(67.0, 68.0]",0.0,0.0,0.0
wz,"(68.0, 69.0]",2.0,0.042326100170612335,0.0009662088705226779
wz,"(69.0, 70.0]",1.0,0.025695860385894775,0.0006602772627957165
wz,"(70.0, 71.0]",1.0,0.00781989935785532,6.115082942415029e-05
